,latitud,longitud,property_type,property_rooms,property_surface_total,property_price
118831,-34.5593183,-58.4454754,Departamento,3.0,66.0,179000.0
346232,-34.6103677,-58.4412248,Departamento,3.0,67.0,160000.0
254624,-34.6164462,-58.3794807,Departamento,1.0,40.0,67900.0
106054,-34.6194061,-58.4519993,Departamento,1.0,38.0,80000.0
227121,-34.6057067,-58.4159979,Departamento,2.0,37.0,68000.0
12618,-34.5929105,-58.4044888,Departamento,3.0,83.0,280000.0
114749,-34.5924574,-58.4127533,Departamento,1.0,43.0,141000.0
282799,-34.6146136947,-58.4070629816,Departamento,3.0,58.0,135000.0
46933,-34.5969032,-58.4105379,Departamento,3.0,62.0,169900.0
287667,-34.6729225,-58.4810744,Departamento,3.0,55.0,60000.0
75732,-34.57801,-58.484754,Departamento,3.0,63.0,220000.0
76822,-34.617914,-58.461015,Departamento,4.0,123.0,340000.0
180124,-34.5829996144,-58.4255163783,Departamento,4.0,110.0,300000.0
399544,-34.6037575,-58.3881681,Departamento,2.0,35.0,81500.0
321051,-34.5971209,-58.4031617,PH,3.0,77.0,145000.0
92403,-34.5673399,-58.4473182,Departamento,5.0,223.0,670000.0
383162,-34.6453835,-58.5113958,Departamento,4.0,118.0,277300.0
258224,-34.5936314,-58.4359692,Departamento,1.0,48.0,109000.0
423684,-34.5973649,-58.4472725,Departamento,4.0,163.0,200000.0
145689,-34.5834133,-58.4337826,Departamento,2.0,50.0,199000.0
341798,-34.5896136,-58.4057906,Departamento,4.0,165.0,1050000.0
341690,-34.6305381,-58.378409,Departamento,1.0,27.0,45150.0
235017,-34.5483937,-58.4669886,Departamento,3.0,76.0,250000.0
452265,-34.5896756,-58.3913799,Departamento,3.0,82.0,209500.0
372623,-34.5905033,-58.4088623,Departamento,4.0,115.41828273812922,206000.0
313435,-34.5886328,-58.3960535,Departamento,3.0,62.0,179000.0
236354,-34.6098208,-58.3926061,Departamento,4.0,123.0,159000.0
169897,-34.5815199,-58.4413819,Departamento,2.0,42.0,149990.0
356599,-34.5800637,-58.4255296,Departamento,1.0,33.0,115500.0
189663,-34.5789074,-58.4396702,Departamento,1.0,30.0,85500.0
137439,-34.6395968,-58.3690963,Departamento,5.0,302.0,599000.0
64024,-34.5964747,-58.4009186,Departamento,4.0,103.0,209000.0
246605,-34.6538105,-58.4209251,Departamento,2.0,65.0,49500.0
197340,-34.5491669,-58.4620066,Departamento,2.0,51.0,165000.0
301661,-34.6440338,-58.4649669,PH,4.0,148.0,189000.0
68916,-34.6296416,-58.4289718,Departamento,3.0,67.0,115000.0
212879,-34.5877412,-58.3869387,Departamento,2.0,38.0,110000.0
182392,-34.6232585,-58.4079139,Departamento,1.0,38.0,79000.0
40856,-34.588762,-58.3896907,Departamento,6.0,191.0,560000.0
357081,-34.625127,-58.412401,PH,3.0,71.0,109900.0
162254,-34.5625858,-58.4653086,Departamento,4.0,60.0,175000.0
455280,-34.6250153431,-58.4050369263,PH,5.0,484.0,340000.0
308549,-34.5470572416,-58.4679508209,Departamento,3.0,68.0,199000.0
232841,-34.623196,-58.461363,Departamento,3.0,70.0,147000.0
147288,-34.536116,-58.4675,Departamento,4.0,76.0,210000.0
322909,-34.5589615,-58.4584644,Departamento,2.0,35.0,79000.0
279669,-34.596907,-58.3742426,Departamento,3.0,42.0,63900.0
243871,-34.5883996,-58.4786374,Departamento,1.0,38.0,71000.0
427140,-34.565069,-58.4569921,Departamento,4.0,210.0,698000.0
404821,-34.6120627,-58.3946571,Departamento,3.0,59.0,83000.0
240000,-34.5705369956,-58.4336307954,Departamento,3.0,75.0,290000.0
